Server,Status,BeforeCHG_EnableDCOM,BeforeCHG_LegacyAuthenticationLevel,BEforeCHG_LegacyImpersonationLevel
CSN-BCN-CWI-01.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-XEN-T03.bcn.tzghosting.net,Change Required,Y,1,3
ABN-BCN-XEN-T04.bcn.tzghosting.net,Change Required,Y,1,3
ABN-BCN-XEN-T05.bcn.tzghosting.net,Change Required,Y,1,3
ABN-BCN-XEN-T06.bcn.tzghosting.net,Change Required,Y,1,3
ABN-BCN-XEN-T07.bcn.tzghosting.net,Change Required,Y,1,3
ABN-BCN-XEN-T08.bcn.tzghosting.net,Change Required,Y,1,3
ABN-BCN-XEN-T09.bcn.tzghosting.net,Change Required,Y,1,3
ABN-BCN-XEN-T10.bcn.tzghosting.net,Change Required,Y,1,3
ABN-BCN-XEN-T11.bcn.tzghosting.net,Change Required,Y,1,3
ABN-BCN-XEN-T12.bcn.tzghosting.net,Change Required,Y,1,3
ABN-BCN-XEN-T13.bcn.tzghosting.net,Change Required,Y,1,3
ABN-BCN-WAS-T16.bcn.tzghosting.net,Change Required,Y,,2
ABN-BCN-WAS-D01.bcn.tzghosting.net,Change Required,Y,,2
ABN-BCN-XEN-D01.bcn.tzghosting.net,Change Required,Y,1,3
ABN-BCN-XEN-D02.bcn.tzghosting.net,Change Required,Y,1,3
ABN-BCN-XEN-T01.bcn.tzghosting.net,Change Required,Y,1,3
ABN-BCN-XEN-T02.bcn.tzghosting.net,Change Required,Y,1,3
ABN-BCN-WAS-T15.bcn.tzghosting.net,-,-,-,Ping Failed
ABN-BCN-WEB-T30.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-APP-T15.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-APP-T13.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-APP-D01.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-FXI-D02.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-APP-T14.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-FHG-T06.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-FXI-T14.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-FXI-D03.bcn.tzghosting.net,No Change required,Y,2,2
ABN-BCN-FXI-T15.bcn.tzghosting.net,No Change required,Y,2,2
CSN-BCN-XEN-01.bcn.tzghosting.net,No Change required,Y,2,2
