BulletinID,ArticleID,Present or Missing,SUG Name,Detail
MS14-040,2961072,Missing,SUG-Feb-2018,English - French
3163251,NA,Not found in SCCM,NA,NA
MS14-040,2961072,Missing,SUG-Feb-2018,English - French
3164025,NA,Not found in SCCM,NA,NA
MS14-040,2961072,Missing,SUG-Feb-2018,English - French
3163247,NA,Not found in SCCM,NA,NA
MS14-040,2961072,Missing,SUG-Feb-2018,English - French
3163291,NA,Not found in SCCM,NA,NA
MS14-040,2961072,Missing,SUG-Feb-2018,English - French
3164024,NA,Not found in SCCM,NA,NA
MS14-040,2961072,Missing,SUG-Feb-2018,English - French
2598041,NA,Not found in SCCM,NA,NA
MS14-040,2961072,Missing,SUG-Feb-2018,English - French
2598039,NA,Not found in SCCM,NA,NA
MS14-040,2961072,Missing,SUG-Feb-2018,English - French
2804579,NA,Not found in SCCM,NA,NA
MS14-040,2961072,Missing,SUG-Feb-2018,English - French
2804576,NA,Not found in SCCM,NA,NA
MS14-040,2961072,Missing,SUG-Feb-2018,English - French
2808735,NA,Not found in SCCM,NA,NA
MS14-040,2961072,Missing,SUG-Feb-2018,English - French
2840149,NA,Not found in SCCM,NA,NA
MS14-040,2961072,Missing,SUG-Feb-2018,English - French
2808735,NA,Not found in SCCM,NA,NA
MS14-040,2961072,Missing,SUG-Feb-2018,English - French
2840149,NA,Not found in SCCM,NA,NA
MS14-040,2961072,Missing,SUG-Feb-2018,English - French
2808735,NA,Not found in SCCM,NA,NA
MS14-040,2961072,Missing,SUG-Feb-2018,English - French
2840149,NA,Not found in SCCM,NA,NA
MS14-040,2961072,Missing,SUG-Feb-2018,English - French
MS12-074,2737019,Present,SUG-Feb-2018,Security Updates - Windows 7
2698023,NA,Not found in SCCM,NA,NA
MS12-074,2737019,Missing,SUG-Feb-2018,Security Updates - Windows 7
MS12-074,2729449,Present,SUG-Feb-2018,Security Updates - Windows 7
MS12-074,2729453,Present,SUG-Feb-2018,Security Updates - Windows Server 2008
2698023,NA,Not found in SCCM,NA,NA
MS12-074,2729453,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008
MS12-074,2737019,Present,SUG-Feb-2018,Security Updates - Windows 7
2687441,NA,Not found in SCCM,NA,NA
MS12-074,2737019,Missing,SUG-Feb-2018,Security Updates - Windows 7
2597986,NA,Not found in SCCM,NA,NA
MS12-074,2737019,Missing,SUG-Feb-2018,Security Updates - Windows 7
MS12-060,2726929,Present,SUG-Feb-2018,Security Updates - Office 2003
2687441,NA,Not found in SCCM,NA,NA
MS12-060,2726929,Missing,SUG-Feb-2018,Security Updates - Office 2003
,4023307,Present,SUG-Feb-2018,Feature Packs - Silverlight
4017094,NA,Not found in SCCM,NA,NA
,4023307,Missing,SUG-Feb-2018,Feature Packs - Silverlight
,4038779,Present,SUG-Feb-2018,Security Updates - Windows 7
4038792,NA,Not found in SCCM,NA,NA
,4038779,Missing,SUG-Feb-2018,Security Updates - Windows 7
,4032201,Present,SUG-Feb-2018,Security Updates - Windows Server 2008
4034664,NA,Not found in SCCM,NA,NA
,4032201,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008
,4048957,Present,SUG-Feb-2018,Security Updates - Windows 7
4053440,NA,Not found in SCCM,NA,NA
,4048957,Missing,SUG-Feb-2018,Security Updates - Windows 7
4025336,NA,Not found in SCCM,NA,NA
,4048957,Missing,SUG-Feb-2018,Security Updates - Windows 7
4025341,NA,Not found in SCCM,NA,NA
,4048957,Missing,SUG-Feb-2018,Security Updates - Windows 7
,4025397,Present,SUG-Feb-2018,Security Updates - Windows Server 2008
,4022746,Present,SUG-Feb-2018,Security Updates - Windows Server 2008
4025339,NA,Not found in SCCM,NA,NA
,4022746,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008
,4025333,Present,SUG-Feb-2018,Security Updates - Windows Server 2012 R2
,4025337,Present,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
,4054518,Present,SUG-Feb-2018,Security Updates - Windows Server 2008 R2
,4048958,Present,SUG-Feb-2018,Security Updates - Windows Server 2012 R2
,4048959,Present,SUG-Feb-2018,Security Updates - Windows Server 2012
,4048957,Present,SUG-Feb-2018,Security Updates - Windows 7
,4019108,Present,SUG-Feb-2018,Security Updates - Windows 7
,4019111,Present,SUG-Feb-2018,Security Updates - Windows 8.1
,4019109,Present,SUG-Feb-2018,Security Updates - Windows Server 2008
,4019110,Present,SUG-Feb-2018,Security Updates - Windows Server 2012
4019474,NA,Not found in SCCM,NA,NA
,4019110,Missing,SUG-Feb-2018,Security Updates - Windows Server 2012
4019112,NA,Not found in SCCM,NA,NA
,4019110,Missing,SUG-Feb-2018,Security Updates - Windows Server 2012
4019114,NA,Not found in SCCM,NA,NA
,4019110,Missing,SUG-Feb-2018,Security Updates - Windows Server 2012
4019115,NA,Not found in SCCM,NA,NA
,4019110,Missing,SUG-Feb-2018,Security Updates - Windows Server 2012
4019113,NA,Not found in SCCM,NA,NA
,4019110,Missing,SUG-Feb-2018,Security Updates - Windows Server 2012
4019473,NA,Not found in SCCM,NA,NA
,4019110,Missing,SUG-Feb-2018,Security Updates - Windows Server 2012
,4041687,Present,SUG-Feb-2018,Security Updates - Windows Server 2012 R2
,4041681,Present,SUG-Feb-2018,Security Updates - Windows 7
,4041671,Present,SUG-Feb-2018,Security Updates - Windows Server 2008
,4041690,Present,SUG-Feb-2018,Security Updates - Windows Server 2012
,4042121,Present,SUG-Feb-2018,Security Updates - Windows Server 2008
,4042123,Present,SUG-Feb-2018,Security Updates - Windows Server 2008
,4041691,Present,SUG-Feb-2018,Security Updates - Windows 10
,4041693,Present,SUG-Feb-2018,Security Updates - Windows Server 2012 R2
,4041678,Present,SUG-Feb-2018,Security Updates - Windows 7
,4041679,Present,SUG-Feb-2018,Security Updates - Windows Server 2012
,4074595,Present,SUG-Feb-2018,Security Updates - Windows Server 2012 R2
