Server,RebootStatus
ABN-CMB-FXI-T27.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-FXI-T28.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-IHM-T05.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-IHM-T06.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-MQI-T04.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-RVR-T01.CMB.tzghosting.net,Reboot Not Required
CSN-THR-SQL-01.THR.tzghosting.net,Connection-Error
ABN-CMB-SQL-99.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-SQL-T02.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-SQL-T20.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-SQL-T24.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-WAS-D04.CMB.tzghosting.net,Reboot Not Required
CSN-THR-SQL-03.THR.tzghosting.net,Connection-Error
ABN-CMB-WAS-D05.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-WAS-T44.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-WAS-T45.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-WAS-T46.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-WAS-T47.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-WAS-T48.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-WAS-T49.CMB.tzghosting.net,Reboot Not Required
ABN-CMB-WAS-T50.CMB.tzghosting.net,Reboot Not Required
