Server,RebootStatus
CSN-CMB-XEN-I2.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-I3.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-I4.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-I5.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-I6.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-I7.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-I8.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-I9.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-J1.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-J2.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-J3.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-J4.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-J5.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-J6.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-J7.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-J8.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-J9.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-K1.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-K2.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-K3.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-K4.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-K5.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-K6.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-K7.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-K8.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-K9.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-L1.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-L2.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-L3.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-L4.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-L5.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-L6.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-L7.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-L8.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-L9.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-M1.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-M2.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-M3.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-M4.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-M5.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-M6.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-M7.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-M8.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-M9.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-N1.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-N2.CMB.tzghosting.net,Reboot Required
CSN-CMB-XEN-N3.CMB.tzghosting.net,Reboot Required
