Server,Discovered_In_SCCM,Clietn_Installed,Active_in_SCCM,LastActiveTime,Domain
ABN-UI03-SQL-10.demo.tzghosting.net,Yes,True,True,08/16/2018 05:55:22,demo.tzghosting.net
ABN-UI03-BIZ-03.demo.tzghosting.net,Yes,True,True,08/16/2018 06:14:35,demo.tzghosting.net
ABN-UI03-SQL-20.demo.tzghosting.net,Yes,True,True,08/16/2018 05:34:40,demo.tzghosting.net
ABN-UI03-SQL-22.demo.tzghosting.net,Yes,True,True,08/16/2018 06:20:54,demo.tzghosting.net
ABN-UI03-IHM-07.demo.tzghosting.net,Yes,True,True,08/16/2018 05:52:28,demo.tzghosting.net
ABN-UI03-IHM-08.demo.tzghosting.net,Yes,True,True,08/16/2018 06:04:41,demo.tzghosting.net
ABN-UI03-APP-19.demo.tzghosting.net,Yes,True,True,08/16/2018 06:03:23,demo.tzghosting.net
ABN-UI03-TOM-05.demo.tzghosting.net,Yes,True,True,08/16/2018 06:18:23,demo.tzghosting.net
ABN-UI03-TOM-09.demo.tzghosting.net,Yes,True,True,08/16/2018 06:00:16,demo.tzghosting.net
ABN-UI03-TOM-11.demo.tzghosting.net,Yes,True,True,08/16/2018 05:59:39,demo.tzghosting.net
ABN-UI03-TOM-07.demo.tzghosting.net,Yes,True,True,08/16/2018 05:35:57,demo.tzghosting.net
ABN-UI03-APP-04.demo.tzghosting.net,Yes,True,True,08/16/2018 05:58:15,demo.tzghosting.net
ABN-UI03-APP-23.demo.tzghosting.net,Yes,True,True,08/16/2018 05:34:00,demo.tzghosting.net
ABN-UI03-APP-22.demo.tzghosting.net,Yes,True,True,08/16/2018 06:12:07,demo.tzghosting.net
ABN-B01-IHM-T04.b01.tzghosting.net,Yes,False,False,,b01.tzghosting.net
ABN-CVH-ZDC-01.cvh.tzghosting.net,Yes,False,False,,cvh.tzghosting.net
abn-xat-adc-02.lhp.tzghosting.net,Yes,False,False,,lhp.tzghosting.net
ABN-MHP-APP-T05.MHP.tzghosting.net,Yes,True,True,04/26/2018 02:07:46,MHP.tzghosting.net
ABN-TZF-WEB-T03.SAAS.tzghosting.net,Yes,False,False,,SAAS.tzghosting.net
ABN-PRH-DC-01.PRH.tzghosting.net,Yes,False,False,,PRH.tzghosting.net
ABN-HDV-WAS-S01.HDV.tzghosting.net,Yes,False,False,,HDV.tzghosting.net
ABN-HDV-WAS-S02.HDV.tzghosting.net,Yes,False,False,,HDV.tzghosting.net
ABN-GHS-DC-01.GHS.tzghosting.net,Yes,False,False,,GHS.tzghosting.net
ABN-SVC-SQL-07.services.tzghosting.net,Yes,True,True,04/26/2018 09:59:59,services.tzghosting.net
ABN-SVC-SQL-22.services.tzghosting.net,Yes,False,False,,services.tzghosting.net
ABN-SVC-SQL-23.services.tzghosting.net,Yes,True,True,07/10/2018 15:06:58,services.tzghosting.net
ABN-SVC-MAH-01.services.tzghosting.net,Yes,False,False,,services.tzghosting.net
ABN-HDV-WEB-01.HDV.tzghosting.net,Yes,True,True,08/16/2018 06:05:52,HDV.tzghosting.net
ABN-HDV-WAS-T03.HDV.tzghosting.net,Yes,True,True,05/24/2018 06:07:25,HDV.tzghosting.net
ABN-HDV-APP-C01.HDV.tzghosting.net,No
ABN-HDV-WEB-R01.HDV.tzghosting.net,Yes,True,True,05/24/2018 05:04:03,HDV.tzghosting.net
ABN-HDV-WAS-T02.HDV.tzghosting.net,Yes,True,True,05/24/2018 05:07:43,HDV.tzghosting.net
ABN-HDV-XEN-F01.HDV.tzghosting.net,No
ABN-UI03-DC-03.demo.tzghosting.net,Yes,False,False,,demo.tzghosting.net
ABN-TPZ-XEN-T11.topaz.tpzhsp.net,Yes,False,False,,topaz.tpzhsp.net
ABN-PRH-DC-02.PRH.tzghosting.net,Yes,False,False,,PRH.tzghosting.net
ABN-HDV-IHM-D01.HDV.tzghosting.net,Yes,True,True,01/18/2018 13:05:02,HDV.tzghosting.net
ABN-HDV-IHM-T01.HDV.tzghosting.net,Yes,False,False,,HDV.tzghosting.net
ABN-OTS-SQL-99.OTS.tzghosting.net,Yes,True,True,07/28/2018 21:40:50,OTS.tzghosting.net
ABN-SDB-APP-P02.SDB.tzghosting.net,Yes,False,False,,SDB.tzghosting.net
