Subnet,StartIPAddress,EndIPAddress
10.25.46.0/29,10.25.46.1,10.25.46.6
10.25.46.8/29,10.25.46.9,10.25.46.14
10.25.46.16/29,10.25.46.17,10.25.46.22
10.25.46.24/29,10.25.46.25,10.25.46.30
10.25.46.32/29,10.25.46.33,10.25.46.38
10.25.46.48/28,10.25.46.49,10.25.46.62
10.25.46.64/28,10.25.46.65,10.25.46.78
10.25.46.128/26,10.25.46.129,10.25.46.190
10.25.47.0/25,10.25.47.1,10.25.47.126
10.25.47.128/25,10.25.47.129,10.25.47.254
10.28.44.0/26,10.28.44.1,10.28.44.62
65.243.170.112/28,65.243.170.113,65.243.170.126
10.25.48.0/29,10.25.48.1,10.25.48.6
10.25.48.8/29,10.25.48.9,10.25.48.14
10.25.48.16/29,10.25.48.17,10.25.48.22
10.25.48.24/29,10.25.48.25,10.25.48.30
10.25.48.32/29,10.25.48.33,10.25.48.38
10.25.48.48/28,10.25.48.49,10.25.48.62
10.25.48.64/28,10.25.48.65,10.25.48.78
10.25.48.128/26,10.25.48.129,10.25.48.190
10.25.49.0/25,10.25.49.1,10.25.49.126
10.25.49.128/25,10.25.49.129,10.25.49.254
65.243.170.128/28,65.243.170.129,65.243.170.142
10.25.50.0/29,10.25.50.1,10.25.50.6
10.25.50.8/29,10.25.50.9,10.25.50.14
10.25.50.16/29,10.25.50.17,10.25.50.22
10.25.50.24/29,10.25.50.25,10.25.50.30
10.25.50.32/29,10.25.50.33,10.25.50.38
10.25.50.48/28,10.25.50.49,10.25.50.62
10.25.50.64/28,10.25.50.65,10.25.50.78
10.25.50.128/26,10.25.50.129,10.25.50.190
10.25.51.0/25,10.25.51.1,10.25.51.126
10.25.51.128/25,10.25.51.129,10.25.51.254
65.243.170.144/28,65.243.170.145,65.243.170.158
10.25.52.0/29,10.25.52.1,10.25.52.6
10.25.52.8/29,10.25.52.9,10.25.52.14
10.25.52.16/29,10.25.52.17,10.25.52.22
10.25.52.24/29,10.25.52.25,10.25.52.30
10.25.52.32/29,10.25.52.33,10.25.52.38
10.25.52.48/28,10.25.52.49,10.25.52.62
10.25.52.64/28,10.25.52.65,10.25.52.78
10.25.52.128/26,10.25.52.129,10.25.52.190
10.25.53.0/25,10.25.53.1,10.25.53.126
10.25.53.128/25,10.25.53.129,10.25.53.254
65.243.170.160/28,65.243.170.161,65.243.170.174
10.25.54.0/29,10.25.54.1,10.25.54.6
10.25.54.8/29,10.25.54.9,10.25.54.14
10.25.54.16/29,10.25.54.17,10.25.54.22
10.25.54.24/29,10.25.54.25,10.25.54.30
10.25.54.32/29,10.25.54.33,10.25.54.38
10.25.54.48/28,10.25.54.49,10.25.54.62
10.25.54.64/28,10.25.54.65,10.25.54.78
10.25.54.128/26,10.25.54.129,10.25.54.190
10.25.55.0/25,10.25.55.1,10.25.55.126
10.25.55.128/25,10.25.55.129,10.25.55.254
65.243.170.176/28,65.243.170.177,65.243.170.190
10.25.56.0/29,10.25.56.1,10.25.56.6
10.25.56.8/29,10.25.56.9,10.25.56.14
10.25.56.16/29,10.25.56.17,10.25.56.22
10.25.56.24/29,10.25.56.25,10.25.56.30
10.25.56.32/29,10.25.56.33,10.25.56.38
10.25.56.48/28,10.25.56.49,10.25.56.62
10.25.56.64/28,10.25.56.65,10.25.56.78
10.25.56.128/26,10.25.56.129,10.25.56.190
10.25.57.0/25,10.25.57.1,10.25.57.126
10.25.57.128/25,10.25.57.129,10.25.57.254
65.243.170.192/28,65.243.170.193,65.243.170.206
10.20.0.0/26,10.20.0.1,10.20.0.62
